state,x,y
Alabama,138,-77
Alaska,-205,-170
Arizona,-204,-40
Arkansas,56,-53
California,-306,13
Colorado,-113,20
Connecticut,296,96
Delaware,274,42
Florida,219,-145
Georgia,181,-75
Hawaii,-318,-143
Idaho,-217,122
Illinois,94,37
Indiana,132,39
Iowa,37,65
Kansas,-18,5
Kentucky,148,1
Louisiana,58,-114
Maine,318,164
Maryland,287,27
Massachusetts,311,112
Michigan,147,101
Minnesota,22,135
Mississippi,93,-78
Missouri,48,6
Montana,-142,150
Nebraska,-62,66
Nevada,-258,56
New Hampshire,301,127
New Jersey,281,65
New Mexico,-129,-43
New York,235,104
North Carolina,238,-22
North Dakota,-45,158
Ohio,175,52
Oklahoma,-9,-41
Oregon,-279,138
Pennsylvania,237,72
Rhode Island,317,94
South Carolina,217,-51
South Dakota,-45,109
Tennessee,130,-34
Texas,-39,-106
Utah,-190,34
Vermont,281,154
Virginia,233,12
Washington,-258,193
West Virginia,199,20
Wisconsin,82,113
Wyoming,-135,90
